"No.","Radio ID","Name","Call Type","Call Alert"
"1","242","242 Norway","Group Call","None"
"2","24201","Norway Chat 1","Group Call","None"
"3","24202","Norway Chat 2","Group Call","None"
"4","24203","Norway Chat 3","Group Call","None"
"5","24204","Norway Chat 4","Group Call","None"
"6","2421","NO South/East","Group Call","None"
"7","2424","NO West","Group Call","None"
"8","2426","NO Central","Group Call","None"
"9","2429","NO North","Group Call","None"
"10","242997","Parrot","Private Call","None"
"11","242998","IP Bridge","Private Call","None"
"12","242999","DPRS","Private Call","None"
"13","1","1 Local","Group Call","None"
"14","2","2 Local/Cluster","Group Call","None"
"15","8","8 Regional","Group Call","None"
"16","9","9 Local TG 9","Group Call","None"
"17","99","99 Simplex","Group Call","None"
"18","4000","DISCONNECT","Group Call","None"
"19","5000","STATUS","Private Call","None"
"20","9900","9900 Local Data","Group Call","None"
"21","91","91 World-Wide","Group Call","None"
"22","92","92 Europe","Group Call","None"
"23","93","93 North America","Group Call","None"
"24","94","94 Asia","Group Call","None"
"25","95","95 Australia, NZ","Group Call","None"
"26","235","235 UK","Group Call","None"
"27","238","238 Denmark","Group Call","None"
"28","2381","2381 Nordjylland","Group Call","None"
"29","2382","2382 Midtjylland","Group Call","None"
"30","2383","2382 Syddanmark","Group Call","None"
"31","2384","2384 Copenhagen","Group Call","None"
"32","2385","2385 Sjaelland","Group Call","None"
"33","2386","2386 QSY1 Chat","Group Call","None"
"34","2387","2387 QSY2 Chat","Group Call","None"
"35","2388","2388 DK DCS699B","Group Call","None"
"36","2389","2389 XLX238 Link","Group Call","None"
"37","240","240 Sweden","Group Call","None"
"38","2400","2400 SE Reg SM0","Group Call","None"
"39","2401","2401 SE Reg SM1","Group Call","None"
"40","2402","2402 SE Reg SM2","Group Call","None"
"41","2403","2403 SE Reg SM3","Group Call","None"
"42","2404","2404 SE Reg SM4","Group Call","None"
"43","2405","2405 SE Reg SM5","Group Call","None"
"44","2406","2406 SE Reg SM6","Group Call","None"
"45","2407","2407 SE Reg SM7","Group Call","None"
"46","2410","2410 SE DCS010D","Group Call","None"
"47","2411","2411 SM Tactical","Group Call","None"
"48","2415","2415 SE DCS010V","Group Call","None"
"49","2416","2416 Swedenlink","Group Call","None"
"50","923","923 European Eng","Group Call","None"
"51","924","924 Swedish","Group Call","None"
"52","927","927 Nordic","Group Call","None"
"53","310","310 TAC-310 USA","Group Call","None"
"54","311","311 TAC-311 USA","Group Call","None"
"55","312","312 TAC-312 USA","Group Call","None"
"56","313","313 TAC 313 USA","Group Call","None"
"57","314","314 TAC 314 USA","Group Call","None"
"58","315","315 TAC 315 USA","Group Call","None"
"59","316","316 TAC 316 USA","Group Call","None"
"60","317","317 TAC 317 USA","Group Call","None"
"61","318","318 TAC 318 USA","Group Call","None"
"62","319","319 TAC 319 USA","Group Call","None"
"63","2420074","TG LA4ZUA","Group Call","None"
"64","88","88 XRF88 B","Group Call","None"
"65","881","881 XRF881 A","Group Call","None"
"66","242002","242002 Oslo","Group Call","None"
"67","242004","242004 Bislingen","Group Call","None"
"68","242006","242006 Romerike","Group Call","None"
"69","242022","242022 KongsvB","Group Call","None"
"70","242101","242101 Kolsaas","Group Call","None"
"71","242102","242102 Follo","Group Call","None"
"72","242103","242103 Follo3","Group Call","None"
"73","242105","242105 Mistberge","Group Call","None"
"74","242111","242111 NSOA 1","Group Call","None"
"75","242112","242112 NSOA 2","Group Call","None"
"76","242210","242210 Bergen","Group Call","None"
"77","242310","242310 Stavanger","Group Call","None"
"78","242323","242323 Haugesund","Group Call","None"
"79","242390","242390 Egersund","Group Call","None"
"80","242440","242440 Forbord","Group Call","None"
"81","242444","242444 Verdal","Group Call","None"
"82","242604","242604 Modum","Group Call","None"
"83","242606","242606 Kongsberg","Group Call","None"
"84","242611","242611 Kongsving","Group Call","None"
"85","242635","242635 Geilo","Group Call","None"
"86","242650","242650 Drammen","Group Call","None"
"87","242666","242666 Bislingen","Group Call","None"
"88","242675","242675 Bislingen","Group Call","None"
"89","242701","242701 Skien","Group Call","None"
"90","242702","242702 Arendal","Group Call","None"
"91","242703","242703 Flekkefjo","Group Call","None"
"92","242710","242710 Kvines","Group Call","None"
"93","242801","242801 Toensberg","Group Call","None"
"94","242803","242803 Hvittinge","Group Call","None"
"95","242808","242808 Sarpsborg","Group Call","None"
"96","242901","242901 Bodoe","Group Call","None"
"97","242902","242902 Mosjoen","Group Call","None"
"98","242903","242903 Sandnessj","Group Call","None"
"99","242904","242904 Mo i Rana","Group Call","None"
"100","242906","242906 Bronnoysu","Group Call","None"
"101","242910","242910 Harstad","Group Call","None"
"102","242911","242911 Loedingen","Group Call","None"
"103","242917","242917 Fauske","Group Call","None"
"104","242920","242920 Bardufoss","Group Call","None"
"105","242922","242922 Tromsoe","Group Call","None"
"106","242950","242950 Narvik","Group Call","None"
